ENSDARG00000042370	1	chr17	-	27971144	27976031	27972332,	27975916,
ENSDARG00000040727	1	chr17	-	49220251	49280428	49220506,49225724,49260982,49271792,49275690,49278723,49278985,	49225597,49260863,49271641,49275582,49278572,49278853,49280107,
ENSDARG00000079393	1	chr21	+	34992550	35041299	34992708,34993890,35001311,35003278,35009560,35009772,35010039,35010253,35011523,35011782,35013825,35016099,35019716,35019957,35023189,35025460,35025672,35028015,35032763,35033879,35035723,35039060,35039291,	34993823,35001163,35003237,35009441,35009670,35009930,35010119,35011374,35011677,35013678,35015967,35019627,35019832,35023049,35025350,35025540,35027920,35032714,35033675,35035542,35038965,35039152,35040017,
ENSDARG00000017762	0	chr5	-	4253929	4297459	4254233,4257595,4260518,4260758,4263335,4264225,4265530,4269358,4269517,4270832,4271103,4273299,4275499,4278563,4281758,4287538,4292596,4293993,4296585,	4257496,4260423,4260602,4263142,4264072,4265360,4269167,4269439,4270771,4270940,4273119,4275383,4278385,4281589,4287350,4292450,4293850,4296430,4297387,
ENSDARG00000041600	0	chr22	-	26264543	26274177	26264819,26265214,26265544,26265702,26266811,26266961,26269743,26269940,	26265100,26265436,26265635,26266685,26266913,26269638,26269820,26273920,
ENSDARG00000030095	0	chr24	+	37902687	37921940	37902924,37903473,37903670,37906307,37907498,37909245,37911600,37911809,37914000,37916776,37916907,37918518,37919170,	37903342,37903584,37905975,37907457,37909163,37911522,37911684,37913813,37916602,37916879,37918449,37919070,37919249,
ENSDARG00000019096	1	chr8	-	40457107	40464935	40457540,40459291,40461664,40461884,40462033,40464060,	40459243,40461586,40461780,40461958,40463959,40464755,
ENSDARG00000099382	1	chr4	+	38550788	38564071	38550885,38551413,38551632,38553818,38557263,38558704,38559086,38560992,38561936,	38551219,38551505,38553709,38557073,38558462,38558806,38560780,38561834,38563578,
ENSDARG00000036299	1	chr7	-	27021368	27038532	27025708,27028822,27029087,27030578,27030786,27030944,27031122,27033146,27036558,27037261,27037453,	27028765,27028917,27030489,27030694,27030886,27031032,27032961,27036455,27037129,27037346,27037687,
ENSDARG00000116005	1	chr3	-	3402223	3413680	3402307,3402495,3402860,3403014,3403475,3403766,3404145,3404381,3404541,3404784,3404930,3405367,3405874,3405999,3406206,3406404,3406700,3406933,3407204,3407403,3409739,3410019,3410310,3410560,3410745,3410928,3411393,3411556,3411792,3411900,3412029,3412673,3413161,	3402390,3402780,3402933,3403354,3403545,3403961,3404219,3404467,3404628,3404855,3405191,3405791,3405948,3406085,3406281,3406475,3406798,3407111,3407278,3409590,3409807,3410086,3410390,3410636,3410808,3411279,3411472,3411627,3411880,3411977,3412517,3412978,3413438,
ENSDARG00000060526	1	chr5	+	39667272	39673477	39667781,39670569,	39669671,39673286,
ENSDARG00000045927	1	chr25	+	6266009	6275207	6266187,6268647,6272853,	6267968,6272726,6274871,
ENSDARG00000025404	1	chr6	+	8598428	8609395	8598585,8598928,8599088,8602048,8606020,	8598893,8599043,8601930,8605880,8608486,
ENSDARG00000020981	1	chr2	+	9990491	10040264	9990562,10010385,10016170,10024758,10028422,10028690,10035351,	10010136,10016016,10024636,10028248,10028572,10035218,10039700,
ENSDARG00000026712	1	chr3	+	17615599	17651899	17615728,17635121,17640640,17647350,17648009,	17634777,17640489,17647228,17647916,17650480,
ENSDARG00000034982	0	chr5	-	67250959	67267678	67255069,67258491,67259532,67260382,67260721,67261559,67261760,67263236,67263471,67265667,67265858,67266252,67266396,	67258374,67259446,67260273,67260585,67261435,67261700,67263171,67263368,67265590,67265759,67266178,67266356,67267502,
ENSDARG00000094922	1	chr5	+	31944270	31951285	31944354,31944672,31947142,31947335,31947691,31947891,31950410,	31944545,31946973,31947240,31947594,31947803,31950232,31951030,
ENSDARG00000034503	1	chr2	-	48309600	48375342	48310740,48313617,48317496,48320009,48324113,48326568,48329099,48331487,48332687,48334103,48335058,48335277,48336297,48337996,48338273,48341042,48342335,48343438,48344118,48344647,48345457,48356790,	48313467,48317289,48319832,48323185,48326311,48328914,48331360,48332522,48334028,48334918,48335169,48336147,48337890,48338195,48340900,48342284,48343237,48343997,48344490,48345359,48356307,48375193,
ENSDARG00000060620	1	chr1	+	29267841	29271473	29268052,	29268424,
ENSDARG00000042536	0	chr8	+	25569903	25572071	25569979,	25571260,
ENSDARG00000039213	0	chr6	-	33926829	33931696	33927137,33927288,33927510,33927658,33927869,33928061,33929539,33929760,33930013,	33927240,33927407,33927632,33927763,33927951,33929454,33929639,33929854,33931464,
ENSDARG00000058371	1	chr23	-	10173196	10177458	10174032,10174194,10174505,10174790,10175044,10175235,10175396,10175709,	10174139,10174285,10174665,10174880,10175140,10175336,10175501,10176833,
ENSDARG00000007566	1	chr15	-	23922264	23942861	23923308,23925512,23928080,23928333,23931294,23931490,23931642,23931811,23932059,23933553,23933797,23936141,	23925347,23927890,23928248,23931170,23931385,23931575,23931722,23931891,23933430,23933646,23936053,23942513,
ENSDARG00000078249	1	chr12	-	36474565	36521767	36474832,36477305,36481210,36482147,36482312,36482797,36484876,36485042,36485189,36487878,36489838,36490125,36491687,36494555,36494704,36494928,36495484,36497374,36497602,36499489,36503648,36503895,36505514,36507300,36507476,36507595,36507866,36508061,36511049,36511459,36511596,36511918,36513473,36518260,	36477109,36481087,36482027,36482229,36482726,36484771,36484963,36485115,36487672,36489743,36489973,36491567,36494425,36494653,36494831,36495428,36497284,36497481,36499372,36503548,36503803,36505410,36507231,36507405,36507554,36507689,36507995,36510990,36511352,36511540,36511871,36513429,36517717,36521723,
ENSDARG00000009796	1	chr13	+	15838151	15904342	15838427,15838591,15842678,15842854,15848936,15849613,15869334,15872391,15874442,15875895,15881006,15881251,15882952,15897194,	15838526,15842514,15842776,15848711,15849526,15869233,15872218,15874343,15875843,15880939,15881143,15882791,15897064,15904324,
ENSDARG00000063019	1	chr18	-	14906570	14922872	14906935,14909910,14910181,14911404,14917207,14922569,	14909731,14910043,14910290,14916868,14922521,14922687,
ENSDARG00000059003	1	chr4	-	4971138	5018705	4973234,4973664,4975397,4975626,4975818,4980323,4980517,4983217,4983377,4984307,4984492,4985992,4990114,4991936,4992144,4992891,4998387,5001437,5006578,5007925,	4973460,4975293,4975560,4975718,4980197,4980420,4983143,4983306,4984244,4984427,4985760,4989926,4991809,4992038,4992823,4998267,5001303,5006504,5007856,5018573,
ENSDARG00000055154	1	chr21	-	27047333	27185915	27048832,27053188,27056075,27058371,27061193,27119974,27123172,	27052916,27055976,27058247,27061087,27119460,27121795,27185466,
ENSDARG00000076508	1	chr25	+	26921480	27237323	26921891,26923702,27010379,27089391,27092481,27092709,27128507,27166230,27174707,27210991,	26922912,27010163,27089256,27092327,27092572,27128307,27166094,27173772,27210745,27236755,
ENSDARG00000016301	1	chr1	-	56217388	56223913	56218601,56220723,56220924,	56220613,56220816,56223724,
ENSDARG00000017126	1	chr18	+	44769211	44794015	44769358,44770707,44773947,44776326,44779039,44779255,44779920,44781714,44782507,44783440,44783886,44788361,44788535,44790329,	44770506,44773820,44776188,44778928,44779156,44779823,44781578,44782373,44783326,44783717,44788291,44788464,44790224,44790499,
ENSDARG00000093131	1	chr13	-	15853677	15865335	15854769,15857356,15857639,15857989,15858423,15859140,15861290,15862153,15862484,	15857142,15857467,15857808,15858104,15858695,15861156,15862015,15862272,15864683,
ENSDARG00000109695	1	chr13	-	9447020	9450210	9447190,9447454,9448130,9448301,9448570,9449372,	9447281,9447755,9448251,9448476,9448929,9449880,
ENSDARG00000070092	1	chr16	-	40991911	41004731	40992728,	41003580,
ENSDARG00000074424	0	chr16	+	4838808	4895521	4839228,4842488,4844992,4847529,4858546,4858800,4860545,4861204,4864882,4866388,4867516,4870215,4872343,4872508,4872637,4875235,4875433,4876544,4879807,4882292,4882540,4882978,4885306,4885475,4887536,4888684,4894126,	4841638,4844896,4847405,4858436,4858630,4860428,4861024,4864759,4866211,4867366,4869580,4872254,4872426,4872600,4875139,4875332,4876427,4879747,4882168,4882380,4882857,4885191,4885389,4887384,4888508,4894000,4895396,
ENSDARG00000088753	0	chr5	+	39563323	39663733	39563430,39565658,39604251,39647147,39660741,	39565534,39604161,39647005,39660612,39663402,
ENSDARG00000030155	1	chr8	+	18010568	18036613	18011133,18012117,18012294,18014029,18024962,18025870,18026109,18030671,18030889,18031152,18031601,18031759,18031996,18032257,18032380,18033179,	18012045,18012233,18013945,18024873,18025799,18026050,18030611,18030766,18031104,18031566,18031705,18031932,18032185,18032352,18033081,18035069,
ENSDARG00000036415	1	chr1	+	52462068	52478746	52462200,52465199,52465454,52466633,52466822,52467789,52468362,52469830,52469952,52470155,52471678,52471854,52474037,52474399,52476065,	52465030,52465304,52466573,52466728,52467609,52468304,52469709,52469912,52470043,52471604,52471765,52473924,52474268,52475820,52478209,
ENSDARG00000034457	1	chr8	-	23781028	23783633	23781654,23781845,23783088,23783327,	23781733,23782973,23783211,23783451,
ENSDARG00000062385	0	chr16	+	13822137	13847335	13822626,13822861,13825974,13826232,13830721,13833524,13833728,13836187,13836807,13841386,	13822715,13825753,13826066,13830630,13833361,13833615,13836064,13836682,13841284,13845281,
ENSDARG00000102704	1	chr19	+	48410195	48416755	48410271,48410417,48412317,48412982,48414210,	48410343,48412062,48412840,48413904,48414884,
ENSDARG00000035325	1	chr5	+	36895545	36899144	36895674,36895869,36897039,36897574,36897719,36897833,36898328,36898562,	36895765,36896815,36897395,36897651,36897795,36898209,36898464,36898647,
ENSDARG00000101392	1	chr4	-	57566673	57572054	57567085,57570388,57570573,57570735,	57570338,57570479,57570673,57571496,
ENSDARG00000013721	1	chr12	+	6041575	6048286	6041837,6042031,6044480,6044703,	6041922,6044372,6044588,6046567,
ENSDARG00000029768	1	chr12	+	11650146	11763658	11650403,11656730,11679831,11684268,11689441,11713996,11716084,11719195,11719414,11719738,11729547,11729772,11730774,11745641,11748016,11752211,11752887,11756749,11757787,	11656240,11679150,11683949,11689329,11713901,11715923,11719059,11719303,11719511,11729436,11729675,11730698,11745478,11747901,11752047,11752683,11756661,11757692,11761905,
ENSDARG00000019986	1	chr1	-	19836871	19845399	19837114,19837329,19839181,19839539,19841452,19841673,19843290,19843501,	19837199,19839046,19839435,19841364,19841527,19843218,19843371,19845180,
ENSDARG00000015997	1	chr23	-	35786942	35790260	35789737,35789914,	35789843,35790154,
ENSDARG00000093677	0	chr24	-	32406894	32408404	32407026,32407221,32407465,	32407108,32407388,32408377,
ENSDARG00000036028	1	chr10	-	43761480	43771447	43762970,43765318,43765583,43766839,43767032,43768509,43768676,	43765176,43765427,43766583,43766930,43768362,43768595,43771018,
ENSDARG00000003526	1	chr11	-	36342997	36350993	36343347,36343534,36345636,36346598,36347172,36347321,36347810,36349947,36350295,	36343448,36345534,36346540,36347065,36347254,36347684,36349881,36350253,36350876,
ENSDARG00000088346	0	chr11	-	40505044	40519886	40505767,40507927,40509828,40511762,40511952,40515078,40515262,40516496,	40507796,40509732,40511636,40511876,40514967,40515169,40516303,40519428,
ENSDARG00000104800	1	chr14	+	21222287	21230168	21222344,21224657,21224882,21225363,21225489,21225653,21228155,21228524,	21224598,21224784,21225280,21225433,21225576,21228057,21228249,21229987,
ENSDARG00000099742	0	chr12	-	9619909	9700605	9620333,9621398,9623762,9626094,9628025,9630548,9630757,9633663,9633902,9636732,9636993,9640360,9640500,9640768,9642715,9645593,9648663,9648988,9651381,9654218,9654402,9654731,9658286,9660203,9660477,9661813,9663567,9667898,9672100,9674449,9676574,9677639,9677825,9679804,9681997,9682198,9682695,9684553,9685828,9690439,9690622,9690859,9693357,9698536,	9621290,9623604,9625904,9627857,9630444,9630623,9633505,9633752,9636431,9636853,9640237,9640448,9640599,9642586,9645363,9648535,9648867,9651263,9654072,9654305,9654600,9658044,9660048,9660305,9661621,9663419,9667730,9671906,9674328,9676363,9677557,9677730,9679697,9681880,9682094,9682596,9684423,9685617,9690293,9690521,9690718,9693141,9698395,9700555,
ENSDARG00000018890	1	chr18	-	35402759	35407289	35403601,35403794,35405266,35405527,35407120,	35403706,35405090,35405354,35406948,35407213,
ENSDARG00000062598	1	chr14	-	16370063	16379843	16372147,16372300,16378717,16379137,	16372219,16378647,16379038,16379749,
ENSDARG00000031848	0	chr11	-	638212	669558	638524,	669337,
ENSDARG00000018691	1	chr11	-	27644524	27702778	27646763,27649582,27652459,27652669,27655924,27661267,27664353,27665749,27668397,27669818,27671384,27673144,27673311,27676553,27677206,27677457,27677993,27679786,27680023,27682760,27686185,	27649288,27652350,27652574,27655626,27661098,27664286,27665571,27668282,27669699,27671055,27673028,27673220,27676447,27677119,27677295,27677807,27679645,27679863,27682646,27686100,27702315,
ENSDARG00000069376	0	chr7	+	20656942	20665339	20657519,20661759,20663246,20663366,20663586,	20661678,20663199,20663343,20663459,20664028,
ENSDARG00000002267	0	chr16	-	44653266	44673851	44653599,44656001,44663089,44665478,44665641,44668088,44669470,44670493,44672397,44673542,	44655838,44662954,44665314,44665559,44668011,44669315,44670404,44672290,44673343,44673626,
ENSDARG00000062506	1	chr18	-	17079187	17147600	17080206,17082917,17084572,17084854,17087283,17089373,17098011,17098332,17098580,17102172,17131032,17134659,17135237,17137523,17139553,17141921,17145122,	17082821,17084473,17084664,17087087,17089263,17097772,17098237,17098449,17101987,17130746,17134545,17135077,17137428,17139353,17141805,17144212,17147426,
ENSDARG00000012019	1	chr14	+	25817628	25905224	25817746,25825216,25840373,25860193,25865258,25870144,25874646,25880283,25885862,	25825092,25840329,25860126,25865035,25870062,25874509,25880069,25885716,25904707,
ENSDARG00000105096	1	chr4	+	7817996	7821466	7818079,7820850,	7820547,7820942,
ENSDARG00000029292	1	chr2	-	9958081	9971728	9959263,9963943,9964093,9964263,9966982,	9963883,9964029,9964178,9966844,9971572,
ENSDARG00000057491	1	chr18	+	18405992	18422543	18406541,18411107,18416105,18417913,18418859,18420955,	18409585,18415975,18417817,18418752,18420854,18421065,
ENSDARG00000044544	1	chr21	-	27192763	27195323	27193840,	27195242,
ENSDARG00000029766	1	chr9	+	9502610	9562644	9502895,9530169,9537816,9542815,9543169,9545053,9555165,9555359,	9529979,9537686,9542646,9542901,9544908,9555049,9555254,9561559,
ENSDARG00000078057	1	chr1	+	11881559	11900420	11881641,11882296,11889315,11891341,11891583,11891793,11893923,11895824,11896065,11896380,11899368,	11882246,11889166,11891221,11891447,11891713,11893763,11895695,11895997,11896249,11899219,11899453,
ENSDARG00000005541	1	chr4	+	12931763	12956718	12931988,12932276,12937375,12937853,12943190,12945615,12947050,12952238,12953461,	12932137,12937267,12937713,12943095,12945520,12946955,12952143,12953366,12955932,
ENSDARG00000036500	0	chr14	+	31529958	31546577	31530459,31538028,31538165,31538490,31538762,31540777,31540951,31541132,31541326,	31537953,31538112,31538447,31538708,31540676,31540866,31541071,31541230,31544754,
ENSDARG00000042899	1	chr8	+	23784471	23808754	23785123,23789101,23790082,23790980,23793762,23793951,23794182,23795093,23796087,23797770,23797950,23799441,23800682,23801032,23802425,23802654,23803389,23803613,23804275,23805779,23807517,	23788981,23789902,23790833,23793682,23793846,23794033,23795005,23795910,23797642,23797860,23799336,23800545,23800772,23802252,23802504,23803296,23803512,23804149,23805601,23807352,23808686,
ENSDARG00000078308	1	chr1	+	5273481	5277583	5273957,	5275764,
ENSDARG00000015906	1	chr12	+	29236274	29237815	29236375,29236657,	29236485,29236764,
ENSDARG00000001313	1	chr17	-	28798725	28811747	28799838,28800132,28803297,28803558,28803938,28806407,28806666,28807232,28807486,28807728,28809571,28809756,28811199,	28799921,28803125,28803377,28803634,28806299,28806542,28807116,28807380,28807566,28809447,28809655,28811102,28811320,
ENSDARG00000008142	1	chr23	+	1661743	1698431	1661812,1664912,1667188,1668893,1671378,1671573,1673252,1673443,1674867,1676145,1679567,1679731,1682251,1684398,1687854,1689116,1691737,1693990,	1664872,1667107,1668817,1671306,1671473,1673107,1673350,1674743,1676047,1679501,1679666,1682171,1684263,1687748,1689021,1691652,1693842,1697219,
